[power_x0: 82, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 84, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 91, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 70, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 96, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 98, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 106, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 108, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 109, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 111, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 96, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 112, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 115, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 112, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 130, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 142, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 143, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 151, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 154, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 130, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 127, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 130, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 133, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 136, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 137, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 152, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 154, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 127, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 163, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 176, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 186, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 163, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 160, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 163, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 166, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 174, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 175, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 177, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 178, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 180, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 181, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 183, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 185, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 160, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 190, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 193, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 198, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 199, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 202, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 204, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 205, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 210, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 212, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 214, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 216, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 190, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 191, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 203, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 204, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 214, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 191, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 222, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 227, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 228, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 230, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 243, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 247, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 253, power_mu: 6, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 254, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 222, power_mu: 6, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 219, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 227, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 229, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 6]
[power_x0: 232, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 241, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 6]
[power_x0: 248, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 252, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
[power_x0: 253, power_mu: 129, period: 28, acr_value: 4, balance: 2, unique_sequence_count: 8]
[power_x0: 219, power_mu: 129, period: 28, acr_value: 4, balance: -2, unique_sequence_count: 8]
